



































































































 14:53:23 up  1:09,  1 user,  load average: 0.09, 0.07, 0.06

 14:53:33 up  1:09,  1 user,  load average: 0.08, 0.07, 0.05

 14:53:43 up  1:10,  1 user,  load average: 0.06, 0.06, 0.05

 14:53:53 up  1:10,  1 user,  load average: 0.05, 0.06, 0.05

 14:54:03 up  1:10,  1 user,  load average: 0.05, 0.06, 0.05

 14:54:39 up  1:10,  1 user,  load average: 0.03, 0.05, 0.05

 14:54:49 up  1:11,  1 user,  load average: 0.10, 0.07, 0.05

 14:54:59 up  1:11,  1 user,  load average: 0.08, 0.07, 0.05

 14:55:09 up  1:11,  1 user,  load average: 0.07, 0.06, 0.05

 14:55:19 up  1:11,  1 user,  load average: 0.06, 0.06, 0.05

 14:55:29 up  1:11,  1 user,  load average: 0.05, 0.06, 0.05

 14:55:39 up  1:11,  1 user,  load average: 0.04, 0.06, 0.05

 14:55:49 up  1:12,  1 user,  load average: 0.04, 0.06, 0.05

 14:55:59 up  1:12,  1 user,  load average: 0.03, 0.05, 0.05

 14:56:09 up  1:12,  1 user,  load average: 0.03, 0.05, 0.05

 14:56:19 up  1:12,  1 user,  load average: 0.02, 0.05, 0.05

 15:03:54 up  1:20,  1 user,  load average: 0.00, 0.01, 0.05
 15:04:04 up  1:20,  1 user,  load average: 0.00, 0.01, 0.05
 15:04:14 up  1:20,  1 user,  load average: 0.00, 0.01, 0.05
 15:04:24 up  1:20,  1 user,  load average: 0.00, 0.01, 0.05
 15:04:34 up  1:20,  1 user,  load average: 0.00, 0.01, 0.05
 15:04:44 up  1:21,  1 user,  load average: 0.00, 0.01, 0.05
 15:04:54 up  1:21,  1 user,  load average: 0.00, 0.01, 0.05
 15:05:04 up  1:21,  1 user,  load average: 0.00, 0.01, 0.05
 15:05:14 up  1:21,  1 user,  load average: 0.00, 0.01, 0.05
 15:05:24 up  1:21,  1 user,  load average: 0.00, 0.01, 0.05
 15:05:34 up  1:21,  1 user,  load average: 0.00, 0.01, 0.05
 15:05:44 up  1:22,  1 user,  load average: 0.00, 0.01, 0.05
 15:05:54 up  1:22,  1 user,  load average: 0.00, 0.01, 0.05
 15:06:04 up  1:22,  1 user,  load average: 0.00, 0.01, 0.05
 15:06:14 up  1:22,  1 user,  load average: 0.00, 0.01, 0.05
 15:06:24 up  1:22,  1 user,  load average: 0.00, 0.01, 0.05
 15:06:34 up  1:22,  1 user,  load average: 0.00, 0.01, 0.05
 15:06:44 up  1:23,  1 user,  load average: 0.00, 0.01, 0.05
 15:06:54 up  1:23,  1 user,  load average: 0.00, 0.01, 0.05
 15:07:04 up  1:23,  1 user,  load average: 0.00, 0.01, 0.05
 15:07:14 up  1:23,  1 user,  load average: 0.00, 0.01, 0.05
 15:07:24 up  1:23,  1 user,  load average: 0.00, 0.01, 0.05
 15:07:34 up  1:23,  1 user,  load average: 0.00, 0.01, 0.05
 15:07:44 up  1:24,  1 user,  load average: 0.00, 0.01, 0.05
 15:07:54 up  1:24,  1 user,  load average: 0.00, 0.01, 0.05
 15:08:04 up  1:24,  1 user,  load average: 0.00, 0.01, 0.05
 15:08:14 up  1:24,  1 user,  load average: 0.00, 0.01, 0.05
 15:08:25 up  1:24,  1 user,  load average: 0.00, 0.01, 0.05
 15:08:35 up  1:24,  1 user,  load average: 0.00, 0.01, 0.05
 15:08:45 up  1:25,  1 user,  load average: 0.08, 0.03, 0.05
 15:08:55 up  1:25,  1 user,  load average: 0.06, 0.03, 0.05
 15:09:05 up  1:25,  1 user,  load average: 0.05, 0.03, 0.05
 15:09:15 up  1:25,  1 user,  load average: 0.05, 0.03, 0.05
 15:09:25 up  1:25,  1 user,  load average: 0.04, 0.03, 0.05
 15:09:35 up  1:25,  1 user,  load average: 0.03, 0.03, 0.05
 15:09:45 up  1:26,  1 user,  load average: 0.03, 0.02, 0.05
 15:09:55 up  1:26,  1 user,  load average: 0.02, 0.02, 0.05
 15:10:05 up  1:26,  1 user,  load average: 0.02, 0.02, 0.05
 15:10:15 up  1:26,  1 user,  load average: 0.02, 0.02, 0.05
 15:10:25 up  1:26,  1 user,  load average: 0.01, 0.02, 0.05
 15:10:35 up  1:26,  1 user,  load average: 0.01, 0.02, 0.05
 15:10:45 up  1:27,  1 user,  load average: 0.01, 0.02, 0.05
 15:10:55 up  1:27,  1 user,  load average: 0.01, 0.02, 0.05
 15:11:05 up  1:27,  1 user,  load average: 0.01, 0.02, 0.05
 15:11:15 up  1:27,  1 user,  load average: 0.01, 0.02, 0.05
 15:11:25 up  1:27,  1 user,  load average: 0.01, 0.02, 0.05
 15:11:35 up  1:27,  1 user,  load average: 0.00, 0.01, 0.05
 15:11:45 up  1:28,  1 user,  load average: 0.00, 0.01, 0.05
 15:11:55 up  1:28,  1 user,  load average: 0.00, 0.01, 0.05
 15:12:05 up  1:28,  1 user,  load average: 0.00, 0.01, 0.05
 15:12:15 up  1:28,  1 user,  load average: 0.00, 0.01, 0.05
 15:12:25 up  1:28,  1 user,  load average: 0.00, 0.01, 0.05
 15:12:35 up  1:28,  1 user,  load average: 0.00, 0.01, 0.05
 15:12:45 up  1:29,  1 user,  load average: 0.00, 0.01, 0.05
 15:12:55 up  1:29,  1 user,  load average: 0.00, 0.01, 0.05
 15:13:05 up  1:29,  1 user,  load average: 0.00, 0.01, 0.05
 15:13:15 up  1:29,  1 user,  load average: 0.00, 0.01, 0.05
 15:13:25 up  1:29,  1 user,  load average: 0.00, 0.01, 0.05
 15:13:35 up  1:29,  1 user,  load average: 0.00, 0.01, 0.05
 15:13:45 up  1:30,  1 user,  load average: 0.00, 0.01, 0.05
 15:13:55 up  1:30,  1 user,  load average: 0.00, 0.01, 0.05
 15:14:05 up  1:30,  1 user,  load average: 0.00, 0.01, 0.05
 15:14:15 up  1:30,  1 user,  load average: 0.00, 0.01, 0.05
 15:14:25 up  1:30,  1 user,  load average: 0.00, 0.01, 0.05
 15:14:35 up  1:30,  1 user,  load average: 0.00, 0.01, 0.05
 15:14:45 up  1:31,  1 user,  load average: 0.00, 0.01, 0.05
 15:14:55 up  1:31,  1 user,  load average: 0.00, 0.01, 0.05
 15:15:05 up  1:31,  1 user,  load average: 0.00, 0.01, 0.05
 15:15:15 up  1:31,  1 user,  load average: 0.00, 0.01, 0.05
 15:15:25 up  1:31,  1 user,  load average: 0.00, 0.01, 0.05
 15:15:35 up  1:31,  1 user,  load average: 0.00, 0.01, 0.05
 15:15:45 up  1:32,  1 user,  load average: 0.00, 0.01, 0.05
 15:15:55 up  1:32,  1 user,  load average: 0.00, 0.01, 0.05
 15:16:05 up  1:32,  1 user,  load average: 0.00, 0.01, 0.05
 15:16:15 up  1:32,  1 user,  load average: 0.00, 0.01, 0.05
 15:16:25 up  1:32,  1 user,  load average: 0.00, 0.01, 0.05
 15:16:35 up  1:32,  1 user,  load average: 0.00, 0.01, 0.05
 15:16:45 up  1:33,  1 user,  load average: 0.00, 0.01, 0.05
 15:16:55 up  1:33,  1 user,  load average: 0.00, 0.01, 0.05
 15:17:05 up  1:33,  1 user,  load average: 0.00, 0.01, 0.05
 15:17:15 up  1:33,  1 user,  load average: 0.00, 0.01, 0.05
 15:17:25 up  1:33,  1 user,  load average: 0.00, 0.01, 0.05
 15:17:35 up  1:33,  1 user,  load average: 0.00, 0.01, 0.05
 15:17:45 up  1:34,  1 user,  load average: 0.00, 0.01, 0.05
 15:17:55 up  1:34,  1 user,  load average: 0.00, 0.01, 0.05
 15:18:05 up  1:34,  1 user,  load average: 0.00, 0.01, 0.05
 15:18:15 up  1:34,  1 user,  load average: 0.00, 0.01, 0.05
 15:18:25 up  1:34,  1 user,  load average: 0.00, 0.01, 0.05
 15:18:35 up  1:34,  1 user,  load average: 0.00, 0.01, 0.05
 15:18:45 up  1:35,  1 user,  load average: 0.00, 0.01, 0.05
 15:18:55 up  1:35,  1 user,  load average: 0.00, 0.01, 0.05
 15:19:05 up  1:35,  1 user,  load average: 0.00, 0.01, 0.05
 15:19:15 up  1:35,  1 user,  load average: 0.00, 0.01, 0.05
 15:19:25 up  1:35,  1 user,  load average: 0.00, 0.01, 0.05
 15:19:35 up  1:35,  1 user,  load average: 0.00, 0.01, 0.05
 15:19:45 up  1:36,  1 user,  load average: 0.00, 0.01, 0.05
 15:19:55 up  1:36,  1 user,  load average: 0.00, 0.01, 0.05
 15:20:05 up  1:36,  1 user,  load average: 0.00, 0.01, 0.05
